[ 'Town',
  'Count',
  '',
  'Notes',
  'Municipality',
  'Longitude',
  'State',
  'Place',
  'Latitude' ]
"Town","Count","","Notes","Municipality","Longitude","State","Place","Latitude"
"","1",null,"Non-indigenous","Acapulco de Juarez",16.863611,"GRO","Acapulco de Juarez, Guerrero",-99.8825
"","2",null,"","Acozauca de Guerrero",17.4608874,"GRO","Alcozauca de Guerrero, Guerrero",-98.38519869999999
"Almolonga de Ocampo","2",null,"","Alcozauca de Guerrero",17.4608874,"GRO","Almolonga de Ocampo, Alcozauca de Guerrero, Guerrero",-98.38519869999999
"Cuyuxtlahuac","2",null,"","Alcozauca de Guerrero",17.4608874,"GRO","Cuyuxtlahuac, Alcozauca de Guerrero, Guerrero",-98.38519869999999
"Ixcuinatoyac","1",null,"","Alcozauca de Guerrero",17.4608874,"GRO","Ixcuinatoyac, Alcozauca de Guerrero, Guerrero",-98.38519869999999
"San Miguel el Grande","3",null,"","Alcozauca de Guerrero",17.4608874,"GRO","San Miguel el Grande, Alcozauca de Guerrero, GRO",-98.38519869999999
"San Vicente Zoyatlan","15",null,"","Alcozauca de Guerrero",17.4608874,"GRO","San Vicente Zoyatlan, Alcozauca de Guerrero, Guerrero",-98.38519869999999
"Tlahuapa","2",null,"","Alcozauca de Guerrero",17.4608874,"GRO","Tlahuapa, Alcozauca de Guerrero, Guerrero",-98.38519869999999
"Xochapa","4",null,"","Alcozauca de Guerrero",17.4608874,"GRO","Xochapa, Alcozauca de Guerrero, Guerrero",-98.38519869999999
"Cruz Fandango","2",null,"","Alcozuaca de Guerrero",17.4608874,"GRO","Cruz Fandango, Alcozauca de Guerrero, Guerrero",-98.38519869999999
"","3",null,"Non-indigenous, Mixtec, Me'phaa","Ayutla de los Libres",16.9658305,"GRO","Ayutla de los Libres, Guerrero",-99.0930528
"","3",null,"","Cochoapa el Grande",17.2,"GRO","Cochoapa el Grande, Guerrero",-98.44999999999999
"Cahuañaña","1",null,"","Cochoapa el Grande",17.2,"GRO","Cahuañaña, Cochoapa El Grande, Guerrero",-98.44999999999999
"Calpanapa Viejo","1",null,"","Cochoapa el Grande",17.2,"GRO","Calpanapa Viejo, Cochoapa el Grande, Guerrero",-98.44999999999999
"Loma Canoa","2",null,"","Cochoapa el Grande",17.2,"GRO","Loma Canoa, Cochoapa el Grande, Guerrero",-98.44999999999999
"Ocotepec","1",null,"","Cochoapa el Grande",17.2,"GRO","Ocotepec, Cochoapa el Grande, Guerrero",-98.44999999999999
"Rio Encajonado","1",null,"","Cochoapa el Grande",17.2,"GRO","Rio Encajonado, Cochoapa el Grande, Guerrero",-98.44999999999999
"San Miguel Amoltepec Viejo","1",null,"","Cochoapa el Grande",17.2,"GRO","San Miguel Amoltepec Viejo, Cochoapa el Grande, Guerrero",-98.44999999999999
"San Rafael","1",null,"","Cochoapa el Grande",17.2,"GRO","San Rafael, Cochoapa el Grande, Guerrero",-98.44999999999999
"","2",null,"Non-indigenous, Mixtec, Amuzgo","Copala",16.6030715,"GRO","Copala, Guerrero",-98.9714623
"Potoichan","2",null,"","Copanatoyac",17.462348,"GRO","Potoichan, Copanatoyac, Guerrero",-98.7133269
"","1",null,"","Igualapa",16.7442207,"GRO","Igualapa, Guerrero",-98.4759514
"Chacalapa","2",null,"","Igualapa",16.7442207,"GRO","Chacalapa, Igualapa, Guerrero",-98.4759514
"","5",null,"","Metlatonoc",17.1937368,"GRO","Metlatonoc, Guerrero",-98.40853729999999
"Llano de las Flores","1",null,"","Metlatonoc",17.1937368,"GRO","Llano de las Flores, Metlatonoc, Guerrero",-98.40853729999999
"San Pablo Atzompo","1",null,"","Metlatonoc",17.1937368,"GRO","San Pablo Atzompo, Metlatonoc, Guerrero",-98.40853729999999
"","1",null,"Non-indigenous, Amuzgo","Ometepec",16.6853987,"GRO","Ometepec, Guerrero",-98.4054812
"Pascala del Oro","3",null,"","San Luis Acatlan",16.8070694,"GRO","Pascala del Oro, San Luis Acatlan, Guerrero",-98.7350079
"","3",null,"Aztec","Teloloapan",18.3654775,"GRO","Teloloapan, Guerrero",-99.8697066
"Tlajocotla","1",null,"Non-indigenous, Aztec","Teloloapan","UNKNOWN","GRO","Tlajocotla, Telolopan, Guerrero","UNKNOWN"
"Cuananchinicha","1",null,"","Tlacoachistlahuaca",16.8105347,"GRO","Cuananchinicha, Tlacoachistlahuaca, Guerrero",-98.30009059999999
"","3",null,"","Tlapa de Comonfort",17.546111,"GRO","Tlapa de Comonfort, Guerrero",-98.57638899999999
"Tototepec","5",null,"","Tlapa de Comonfort",17.546111,"GRO","Tototepec, Tlapa de Comonfort, Guerrero",-98.57638899999999
