State,Town,Municipality,Town,Place,Count,Notes,Latitude,Longitude
GRO,,Acapulco de Juarez,,"Acapulco de Juarez, Guerrero",1,Non-indigenous,-99.8825,16.863611
GRO,,Acozauca de Guerrero,,"Alcozauca de Guerrero, Guerrero",2,,-98.3851987,17.4608874
GRO,Almolonga de Ocampo,Alcozauca de Guerrero,Almolonga de Ocampo,"Almolonga de Ocampo, Alcozauca de Guerrero, Guerrero",2,,-98.3851987,17.4608874
GRO,Cuyuxtlahuac,Alcozauca de Guerrero,Cuyuxtlahuac,"Cuyuxtlahuac, Alcozauca de Guerrero, Guerrero",2,,-98.3851987,17.4608874
GRO,Ixcuinatoyac,Alcozauca de Guerrero,Ixcuinatoyac,"Ixcuinatoyac, Alcozauca de Guerrero, Guerrero",1,,-98.3851987,17.4608874
GRO,San Miguel el Grande,Alcozauca de Guerrero,San Miguel el Grande,"San Miguel el Grande, Alcozauca de Guerrero, GRO",3,,-98.3851987,17.4608874
GRO,San Vicente Zoyatlan,Alcozauca de Guerrero,San Vicente Zoyatlan,"San Vicente Zoyatlan, Alcozauca de Guerrero, Guerrero",15,,-98.3851987,17.4608874
GRO,Tlahuapa,Alcozauca de Guerrero,Tlahuapa,"Tlahuapa, Alcozauca de Guerrero, Guerrero",2,,-98.3851987,17.4608874
GRO,Xochapa,Alcozauca de Guerrero,Xochapa,"Xochapa, Alcozauca de Guerrero, Guerrero",4,,-98.3851987,17.4608874
GRO,Cruz Fandango,Alcozuaca de Guerrero,Cruz Fandango,"Cruz Fandango, Alcozauca de Guerrero, Guerrero",2,,-98.3851987,17.4608874
GRO,,Ayutla de los Libres,,"Ayutla de los Libres, Guerrero",3,"Non-indigenous, Mixtec, Me'phaa",-99.0930528,16.9658305
GRO,,Cochoapa el Grande,,"Cochoapa el Grande, Guerrero",3,,-98.45,17.2
GRO,Cahuañaña,Cochoapa el Grande,Cahuañaña,"Cahuañaña, Cochoapa El Grande, Guerrero",1,,-98.45,17.2
GRO,Calpanapa Viejo,Cochoapa el Grande,Calpanapa Viejo,"Calpanapa Viejo, Cochoapa el Grande, Guerrero",1,,-98.45,17.2
GRO,Loma Canoa,Cochoapa el Grande,Loma Canoa,"Loma Canoa, Cochoapa el Grande, Guerrero",2,,-98.45,17.2
GRO,Ocotepec,Cochoapa el Grande,Ocotepec,"Ocotepec, Cochoapa el Grande, Guerrero",1,,-98.45,17.2
