State	Municipality	Town	Place	Count	Notes		
GRO	Acapulco de Juarez		Acapulco de Juarez, Guerrero	1	Non-indigenous
					
GRO	Acozauca de Guerrero		Alcozauca de Guerrero, Guerrero	2	
GRO	Alcozauca de Guerrero	Almolonga de Ocampo	Almolonga de Ocampo, Alcozauca de Guerrero, Guerrero	2	
GRO	Alcozauca de Guerrero	Ixcuinatoyac	Ixcuinatoyac, Alcozauca de Guerrero, Guerrero	1	
GRO	Alcozauca de Guerrero	San Miguel el Grande	San Miguel el Grande, Alcozauca de Guerrero, GRO	3	
GRO	Alcozauca de Guerrero	San Vicente Zoyatlan	San Vicente Zoyatlan, Alcozauca de Guerrero, Guerrero	15	
GRO	Alcozauca de Guerrero	Tlahuapa	Tlahuapa, Alcozauca de Guerrero, Guerrero	2	
GRO	Alcozauca de Guerrero	Xochapa	Xochapa, Alcozauca de Guerrero, Guerrero	4	
GRO	Alcozuaca de Guerrero	Cruz Fandango	Cruz Fandango, Alcozauca de Guerrero, Guerrero	2	
					
OAX	Ayoquezco de Aldama		Ayoquezco de Aldama, Oaxaca	1	Chinantec
					
GRO	Ayutla de los Libres		Ayutla de los Libres, Guerrero	3	Non-indigenous, Mixtec, Me'phaa
					
GRO	Cochoapa el Grande	Cahuañaña	Cahuañaña, Cochoapa El Grande, Guerrero	1	
GRO	Cochoapa el Grande	Calpanapa Viejo	Calpanapa Viejo, Cochoapa el Grande, Guerrero	1	
GRO	Cochoapa el Grande	Loma Canoa	Loma Canoa, Cochoapa el Grande, Guerrero	2	
GRO	Cochoapa el Grande	Ocotepec	Ocotepec, Cochoapa el Grande, Guerrero	1	
GRO	Cochoapa el Grande	Rio Encajonado	Rio Encajonado, Cochoapa el Grande, Guerrero	1	
GRO	Cochoapa el Grande	San Miguel Amoltepec Viejo	San Miguel Amoltepec Viejo, Cochoapa el Grande, Guerrero	1	
GRO	Cochoapa el Grande	San Rafael	San Rafael, Cochoapa el Grande, Guerrero	1	
GRO	Cochoapa el Grande		Cochoapa el Grande, Guerrero	3	
					
GRO	Copala		Copala, Guerrero	2	Non-indigenous, Mixtec, Amuzgo
					
GRO	Copanatoyac	Potoichan	Potoichan, Copanatoyac, Guerrero	2	
					
GRO	Alcozauca de Guerrero	Cuyuxtlahuac	Cuyuxtlahuac, Alcozauca de Guerrero, Guerrero	2	
					
					
					
GRO	Igualapa	Chacalapa	Chacalapa, Igualapa, Guerrero	2	
GRO	Igualapa		Igualapa, Guerrero	1	
					
GRO	Metlatonoc	Llano de las Flores	Llano de las Flores, Metlatonoc, Guerrero	1	
GRO	Metlatonoc	San Pablo Atzompo	San Pablo Atzompo, Metlatonoc, Guerrero	1	
GRO	Metlatonoc		Metlatonoc, Guerrero	5	
					
GRO	Ometepec		Ometepec, Guerrero	1	Non-indigenous, Amuzgo
					
GRO	San Luis Acatlan	Pascala del Oro	Pascala del Oro, San Luis Acatlan, Guerrero	3	
					
GRO	Teloloapan	Tlajocotla	Tlajocotla, Telolopan, Guerrero	1	Non-indigenous, Aztec
GRO	Teloloapan		Teloloapan, Guerrero	3	Aztec
					
GRO	Tlacoachistlahuaca	Cuananchinicha	Cuananchinicha, Tlacoachistlahuaca, Guerrero	1	
					
GRO	Tlapa de Comonfort	Tototepec	Tototepec, Tlapa de Comonfort, Guerrero	5	
GRO	Tlapa de Comonfort		Tlapa de Comonfort, Guerrero	3	
					
GRO	Xochistlahuaca		Xochistlahuaca, Guerrero	1	
					
GRO	Zitlala		Zitlala, Guerrero	1	Aztec
					
MICH	Apatzingan		Apatzingan, Michoacan	1	
					
OAX	Acatlan de Perez Figueroa		Acatlan de Perez Figueroa, Oaxaca	1	
					
OAX	Asuncion Cacalotepec	Aguatlan	Aguatlan, Asuncion Cacalotepec, Oaxaca	1	
					
OAX	Asuncion Nochixtlan		Asuncion Nochixtlan, Oaxaca	1	
					
OAX	Asuncion Ocotlan		Asuncion Ocotlan, Oaxaca	1	
					
OAX	Calihuala		Calihuala, Calihuala, Oaxaca	2	
					
OAX	Coicoyan de las Flores	La Trinidad	La Trinidad, Coicoyan de las Flores, Oaxaca	2	
OAX	Coicoyan de las Flores		Coicoyan de las Flores, Coicoyan de las Flores, Oaxaca	6	
					
OAX	Heroica Ciudad de Ejutla de Crespo	Barranca Larga	Barranca Larga, Heroica Ciudad de Ejutla de Crespo, Oaxaca	1	
OAX	Heroica Ciudad de Ejutla de Crespo		Heroica Ciudad de Ejutla de Crespo, Oaxaca	1	
					
OAX	Heroica Ciudad de Juchitan de Zaragoza		Heroica Ciudad de Juchitan de Zaragoza, Oaxaca	1	
					
OAX	Heroica Ciudad de Tlaxiaco	San Felipe Tindaco	San Felipe Tindaco, Heroica Ciudad de Tlaxiaco, Oaxaca	1	
					
OAX	Ixpantepec Nieves		Ixpantepec Nieves, Oaxaca	2	
					
OAX	Matias Romero Avendano	Palomares	Palomares, Matias Romero Avendano, Oaxaca	1	
					
OAX	Miahuatlan de Porfirio Diaz		Miahuatlan de Porfirio Diaz, Oaxaca	7	
					
OAX	Ocotlan de Morelos	Buena Vista	Buena Vista, Ocotlan de Morelos, Oaxaca	1	
					
OAX	Pluma Hidalgo		Pluma Hidalgo, Oaxaca	2	Non-indigenous
					
OAX	Puerto Escondido		Puerto Escondido, Oaxaca	2	Non-indigenous
					
OAX	Putla Villa de Guerrero		Putla Villa de Guerrero, Oaxaca	1	
					
OAX	San Agustin Amatengo		San Agustin Amatengo, Oaxaca	4	
					
OAX	San Agustin Atenango		San Agustin Atenango, Oaxaca	2	
					
OAX	San Agustin Chayuco		San Agustin Chayuco, Oaxaca	1	
					
OAX	San Andres Zabache		San Andres Zabache, Oaxaca	2	Non-indigenous, Zapotec
					
OAX	San Cristobal Amatlan	San Agustin Mixtepec	San Agustin Mixtepec, San Cristobal Amatlan, Oaxaca	1	
					
OAX	San Dionisio del Mar		San Dionisio del Mar, Oaxaca	1	Huave
					
OAX	San Francisco Tlapancingo	Guadalupe Nogales	Guadalupe Nogales, San Francisco Tlapancingo, Oaxaca	4	
OAX	San Francisco Tlapancingo	San Marcos Natividad	San Marcos Natividad, San Francisco Tlapancingo, Oaxaca	3	
OAX	San Francisco Tlapancingo		San Francisco Tlapancingo, Oaxaca	1	
					
OAX	San Ildefonso Amatlan	Yojuela	Yojuela, San Ildefonso Amatlan, Oaxaca	6	Zapotec
					
OAX	San Jeronimo Tlacochahuaya	San Mateo Macuilxochitl	San Mateo Macuilxochitl, San Jeronimo Tlacochahuaya, Oaxaca	1	Zapotec, non-indigenous
					
OAX	San Jorge Nuchita	Guadalupe de Morelos	Guadalupe de Morelos, San Jorge Nuchita, Oaxaca	31	
OAX	San Jorge Nuchita		San Jorge Nuchita, Oaxaca	15	
					
OAX	San José del Peñasco		San José del Peñasco, Oaxaca	1	
					
OAX	San Jose Lachiguiri	Nizagoche	Nizagoche, San Jose Lachiguiri, Oaxaca	7	
OAX	San Jose Lachiguiri	San Isidro La Chivigoza	San Isidro La Chivigoza, San Jose Lachiguiri, Oaxaca	5	
OAX	San Jose Lachiguiri		San Jose Lachiguiri, Oaxaca	2	
OAX	San Jose Lachiguiri		San Jose Lachiguiri, Oaxaca	41	
					
OAX	San Juan Mixtepec - Distrito 08	Meson de Guadalupe	Meson de Guadalupe, San Juan Mixtepec - Distrito 08, Oaxaca	1	
OAX	San Juan Mixtepec - Distrito 08	San Juan Cahuayaxi	San Juan Cahuayaxi, San Juan Mixtepec Dto 08, Oaxaca	1	
OAX	San Juan Mixtepec - Distrito 08	Santiago Tiño	Santiago Tiño, San Juan Mixtepec Dto 08, Oaxaca	1	
OAX	San Juan Mixtepec - Distrito 08		San Juan Mixtepec - Distrito 08, Oaxaca	4	
					
OAX	San Juan Ñumi		San Juan Ñumi, Oaxaca	1	
					
OAX	San Martin Peras	Ahuajatla	Ahuajutla, San Martin Peras, Oaxaca	14	
OAX	San Martin Peras	Barrio del Carmen	Barrio del Carmen, San Martin Peras, Oaxaca	1	
OAX	San Martin Peras	Chiñon	Chiñon, San Martin Peras, Oaxaca	13	
OAX	San Martin Peras	El Paredon	El Paredon, San Martin Peras, Oaxaca	5	
OAX	San Martin Peras	Guadalupe	Guadalupe, San Martin Peras, Oaxaca	1	
OAX	San Martin Peras	La Escopeta	La Escopeta, San Martin Peras, Oaxaca	2	
OAX	San Martin Peras	La Trinidad Peras	La Trinidad Peras, San Martin Peras, Oaxaca	1	
OAX	San Martin Peras	Las Huertas	Las Huertas, San Martin Peras, Oaxaca	1	
OAX	San Martin Peras	Las Minas	Las Minas, San Martin Peras, Oaxaca	5	
OAX	San Martin Peras	Piedra Azul	Piedra Azul, San Martin Peras, Oaxaca	5	
OAX	San Martin Peras	San Isidro La Raya	San Isidro La Raya, San Martin Peras, Oaxaca	7	
OAX	San Martin Peras	San Juan del Rio	San Juan del Rio, San Martin Peras, Oaxaca	4	
OAX	San Martin Peras	San Marcos	San Marcos, San Martin Peras, Oaxaca	2	
OAX	San Martin Peras	San Miguel Peras	San Miguel Peras, San Martin Peras, Oaxaca	10	
OAX	San Martin Peras	Santiago Petlacala	Santiago Petlacala, San Martin Peras, Oaxaca	10	
OAX	San Martin Peras		San Martin Peras, Oaxaca	204	
					
OAX	San Mateo Cajonos		San Mateo Cajonos, Oaxaca	1	
					
OAX	San Miguel Chicahua		San Miguel Chicahua, Oaxaca	1	
					
OAX	San Miguel Tlacotepec	San Martin Sabinillo	San Martin Sabinillo, San Miguel Tlacotepec, Oaxaca	1	
					
OAX	San Pedro Mixtepec		San Pedro Mixtepec, Oaxaca	1	
					
OAX	San Pedro Pochutla		San Pedro Pochutla, Oaxaca	1	Non-indigenous, Zapotec
					
OAX	San Pedro Quiatoni	La Soledad Salinas	La Soledad Salinas, San Pedro Quiatoni, Oaxaca	1	
					
OAX	San Sebastian Tecomaxtlahuaca	Cañada de Lobo	Cañada de Lobo, San Sebastian Tecomaxtlahuaca, Oaxaca	4	
OAX	San Sebastian Tecomaxtlahuaca	Guadalupe Nundaco	Guadalupe Nundaco, San Sebastian Tecomaxtlahuaca, Oaxaca	5	
OAX	San Sebastian Tecomaxtlahuaca	Rio de Hielo	Rio de Hielo, San Sebastian Tecomaxtlahuaca, Oaxaca	2	
OAX	San Sebastian Tecomaxtlahuaca	San Martin Duraznos	San Martin Duraznos, San Sebastian Tecomaxtlahuaca, Oaxaca	51	
OAX	San Sebastian Tecomaxtlahuaca	San Mateo Tunuchi	San Mateo Tunuchi, San Sebastian Tecomaxtlahuaca, Oaxaca	1	
OAX	San Sebastian Tecomaxtlahuaca		San Sebastian Tecomaxtlahuaca, Oaxaca	2	
					
OAX	San Vicente Coatlan		San Vicente Coatlan, Oaxaca	1	Zapotec
					
OAX	Santa Ana Yareni		Santa Ana Yareni, Oaxaca	2	Zapotec
					
OAX	Santa Catarina Quioquitani		Santa Catarina Quioquitani	1	Zapotec
					
OAX	Santa Cruz Xitla		Santa Cruz Xitla, Oaxaca	1	Zapotec
					
OAX	Santa Maria Tonameca	San Francisco Cozoaltepec	San Francisco Cozoaltepec, Santa Maria Tonameca, Oaxaca	1	Non-indigenous, Zapotec
					
OAX	Santa Maria Zoquitlan	Rio Mijangos	Río Míjangos, Santa Maria Zoquitlan, Oaxaca	1	Non-indigenous
					
